"entity-name","value"
"Europe","41"
"Georgia","2"
"CompTIA","1"
"Hong Kong","1"
"US","222"
"Mr Townsend","1"
"Jill Sutherland","1"
"Mr Vaughan","1"
"Explorer","5"
"Sun","7"
"Piero","6"
"Francesco","1"
"PSP","3"
"Shane Williams","1"
"Ben Coppin","1"
"Mitchell Kapor","1"
"Guardian","1"
"Netherlands","3"
"Ken Kutaragi","1"
"Korean","1"
"Virus","9"
"Gordon Freeman","3"
"Sophos","1"
"Kenyan","6"
"Zafi-D","1"
"Championship Manager","3"
"Pantech","1"
"Stuff Essentials","1"
"Spider-Man 2","1"
"Jeremy Philpott","1"
"Shaun","1"
"Messenger","1"
"Disasters Emergency Committee","6"
"Mr Wong","6"
"Californian","1"
"Intellect","1"
"Users","1"
"BBC","10"
"Medal Of Honor and Call of Duty","3"
"BBC Research and Development","1"
"Ian Pearson","3"
"Canada","1"
"Carlos Saldarriaga","2"
"Toshiba","1"
"EU","78"
"Golden Joystick","6"
"Microprocessor Report","1"
"Mobile","2"
"Mozilla","1"
"Skype","8"
"Briton","3"
"Connectotel","1"
"Jonathan Schwartz","1"
"Las Vegas","21"
"Serbia","2"
"Indian","3"
"Victor Wong","4"
"Ofcom","10"
"The Xbox 2","1"
"Xbox 2","6"
"University of Hertfordshire","3"
"Apple iPods","1"
"Apple","234"
"Lycos","12"
"Soviet","2"
"Gadget","8"
"BBC News","16"
"GB","2"
"The Internet Corporation for Assigned Names and Numbers (","3"
"Mr Goodman","5"
"Britons","1"
"Blinx","6"
"Chaplin Collection","1"
"Scott Richter","3"
"Alberta","1"
"Andrew Thompson","1"
"Cannes","7"
"Trauma","1"
"Media Player","1"
"Creative Zen","1"
"Hitachi","18"
"Fiona Deans","1"
"Court","3"
"London University","3"
"HP","39"
"The Motion Picture Association of America","1"
"Linux","14"
"ESPN","33"
"The Forum for the Future report took an in-depth look at","1"
"Forrester Research","6"
"Nintendo DS","6"
"P2P","54"
"Home Office","1"
"PlayStation","7"
"Rooster","3"
"Darfur","9"
"Commodore","30"
"Tim Danton","2"
